Date,Hour,Demand,Temperature,Humidity,Wind Speed,rain/shower
2020-01-01,0,2505.06,23.405687,61.859863,3.589848,0.5
2020-01-01,1,2172.85,20.506907,62.559895,3.170414,0.2
2020-01-01,2,1983.25,18.869179,62.94478,2.9329867,0.1
2020-01-01,3,1890.03,18.206137,63.165306,2.8244202,0.1
2020-01-01,4,1920.28,18.384619,63.08217,2.858722,0.1
2020-01-01,5,2181.97,20.58568,62.54139,3.1818345,0.2
2020-01-01,6,2755.08,25.853643,61.09919,3.9367027,1.3
2020-01-01,7,3588.54,33.77957,58.53222,5.139049,3.7
2020-01-01,8,4381.8,42.075172,54.02247,6.8778644,3.4
2020-01-01,9,4822.47,45.746128,52.24973,7.644428,3.5
2020-01-01,10,5160.28,46.2879,50.264626,8.171072,2.7
2020-01-01,11,5224.87,46.37811,49.878834,8.271919,2.5
2020-01-01,12,4857.01,45.864334,52.076042,7.6975617,3.5
2020-01-01,13,4292.97,41.248775,54.43451,6.7044787,3.4
2020-01-01,14,3970.16,37.92516,56.225403,6.0082316,3.5
2020-01-01,15,3725.8,35.233677,57.744034,5.4426837,3.6
2020-01-01,16,3627.57,34.151814,58.354454,5.215342,3.7
2020-01-01,17,3744.04,35.434566,57.630688,5.484898,3.6
2020-01-01,18,3946.03,37.6592,56.375492,5.952379,3.5
2020-01-01,19,3774.07,35.7653,57.44408,5.554399,3.6
2020-01-01,20,3609.56,33.955326,58.46427,5.174116,3.7
2020-01-01,21,3509.17,33.115948,58.788788,5.006637,3.5
2020-01-01,22,3218.44,30.390417,59.689415,4.5795255,2.7
2020-01-01,23,2732.89,25.636377,61.166695,3.9059184,1.2
2020-01-02,0,2236.22,21.054285,62.43126,3.24977,0.3
2020-01-02,1,1934.55,18.48458,63.047768,2.8750381,0.1
2020-01-02,2,1794.75,17.683859,63.43075,2.7115555,0.1
2020-01-02,3,1744.88,17.467108,63.571556,2.6650796,0.1
2020-01-02,4,1786.43,17.639662,63.45398,2.7020144,0.1
2020-01-02,5,2046.26,19.413448,62.81687,3.0118906,0.2
2020-01-02,6,2639.73,24.724245,61.45014,3.7766762,0.9
2020-01-02,7,3495.37,33.00056,58.833393,4.9836164,3.5
2020-01-02,8,4100.15,39.363613,55.412563,6.3092613,3.4
2020-01-02,9,4425.06,42.477615,53.821808,6.9623027,3.4
2020-01-02,10,4700.79,44.839275,52.651756,7.4591413,3.5
2020-01-02,11,4587.83,43.906536,53.112488,7.2626643,3.4
2020-01-02,12,4320.09,41.501076,54.308712,6.7574143,3.4
2020-01-02,13,3854.83,36.65476,56.942223,5.7413077,3.5
2020-01-02,14,3728.22,35.260326,57.72899,5.4482856,3.6
2020-01-02,15,3645.34,34.347523,58.244022,5.25647,3.7
2020-01-02,16,3631.5,34.1951,58.330032,5.224439,3.7
2020-01-02,17,3773.07,35.754284,57.450294,5.5520844,3.6
2020-01-02,18,3959.06,37.8027,56.29452,5.9825363,3.5
2020-01-02,19,3819.18,36.262123,57.163754,5.658801,3.6
2020-01-02,20,3642.91,34.32076,58.259132,5.2508445,3.7
2020-01-02,21,3437.59,32.517452,59.020172,4.887223,3.4
2020-01-02,22,3118.15,29.408472,59.99454,4.440393,2.4
2020-01-02,23,2625.17,24.581686,61.49443,3.7564776,0.9
2020-01-03,0,2151.19,20.319813,62.603867,3.143291,0.2
